COG	Protein name	Pathway	Letter	Function
COG0239	Fluoride ion exporter CrcB/FEX, affects chromosome condensation		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG0239	Fluoride ion exporter CrcB/FEX, affects chromosome condensation		P	Inorganic Ion Transport and Metabolism
COG0240	Glycerol-3-phosphate dehydrogenase	Isoprenoid biosynthesis	C	Energy Production and Conversion
COG0241	Histidinol phosphatase/D-glycero-mannoheptose bisphosphatephosphatase, HAD superfamily	Histidine biosynthesis	E	Amino Acid Transport and Metabolism
COG0242	Peptide deformylase		J	Translation, Ribosomal Structure and Biogenesis
COG0243	Anaerobic selenocysteine-containing dehydrogenase		C	Energy Production and Conversion
COG0244	Ribosomal protein L10	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0245	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	Isoprenoid biosynthesis	I	Lipid Transport and Metabolism
COG0246	Mannitol-1-phosphate/altronate dehydrogenases		G	Carbohydrate Transport and Metabolism
COG0247	Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF		C	Energy Production and Conversion
COG0248	Exopolyphosphatase/pppGpp-phosphohydrolase		F	Nucleotide Transport and Metabolism
COG0248	Exopolyphosphatase/pppGpp-phosphohydrolase		T	Signal Transduction Mechanisms
COG0249	DNA mismatch repair ATPase MutS		L	Replication, Recombination and Repair
COG0250	Transcription termination/antitermination protein NusG		K	Transcription
COG0251	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family	Pyrimidine degradation	V	Defense Mechanisms
COG0252	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D		J	Translation, Ribosomal Structure and Biogenesis
COG0252	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D		E	Amino Acid Transport and Metabolism
COG0253	Diaminopimelate epimerase	Lysine biosynthesis	E	Amino Acid Transport and Metabolism
COG0254	Ribosomal protein L31	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0255	Ribosomal protein L29	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0256	Ribosomal protein L18	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0257	Ribosomal protein L36	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0258	5'-3' exonuclease Xni/ExoIX (flap endonuclease)		L	Replication, Recombination and Repair
COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase	Pyridoxal phosphate biosynthesis	H	Coenzyme Transport and Metabolism
COG0260	Leucyl aminopeptidase		E	Amino Acid Transport and Metabolism
COG0261	Ribosomal protein L21	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0262	Dihydrofolate reductase	Folate biosynthesis	H	Coenzyme Transport and Metabolism
COG0263	Glutamate 5-kinase	Proline biosynthesis	E	Amino Acid Transport and Metabolism
COG0264	Translation elongation factor EF-Ts	Translation factors	J	Translation, Ribosomal Structure and Biogenesis
COG0265	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain		O	Post-translational Modification, Protein Turnover, Chaperones
COG0266	Formamidopyrimidine-DNA glycosylase		L	Replication, Recombination and Repair
COG0267	Ribosomal protein L33	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0268	Ribosomal protein S20	Ribosome 30S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0269	3-keto-L-gulonate-6-phosphate decarboxylase		G	Carbohydrate Transport and Metabolism
COG0270	DNA-cytosine methylase		L	Replication, Recombination and Repair
COG0271	DNA-binding global transcriptional regulator BolA, affects cell shape, cell division and biofilm formation		K	Transcription
COG0271	DNA-binding global transcriptional regulator BolA, affects cell shape, cell division and biofilm formation		T	Signal Transduction Mechanisms
COG0272	NAD-dependent DNA ligase		L	Replication, Recombination and Repair
COG0274	Deoxyribose-phosphate aldolase		F	Nucleotide Transport and Metabolism
COG0275	16S rRNA C1402 N4-methylase RsmH	16S rRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG0276	Protoheme ferro-lyase (ferrochelatase)	Heme biosynthesis	H	Coenzyme Transport and Metabolism
COG0277	FAD/FMN-containing lactate dehydrogenase/glycolate oxidase		C	Energy Production and Conversion
COG0278	Glutaredoxin-related protein		O	Post-translational Modification, Protein Turnover, Chaperones
COG0279	Phosphoheptose isomerase		G	Carbohydrate Transport and Metabolism
COG0280	Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase)		C	Energy Production and Conversion
COG0281	Malic enzyme	Urea cycle	C	Energy Production and Conversion
COG0282	Acetate kinase		C	Energy Production and Conversion
COG0283	Cytidylate kinase		F	Nucleotide Transport and Metabolism
COG0284	Orotidine-5'-phosphate decarboxylase	Pyrimidine biosynthesis	F	Nucleotide Transport and Metabolism
COG0285	Folylpolyglutamate synthase/Dihydropteroate synthase	Folate biosynthesis	H	Coenzyme Transport and Metabolism
COG0286	Type I restriction-modification system, DNA methylase subunit		V	Defense Mechanisms
COG0287	Prephenate dehydrogenase	Aromatic amino acid biosynthesis	E	Amino Acid Transport and Metabolism
COG0288	Carbonic anhydrase		P	Inorganic Ion Transport and Metabolism
COG0289	4-hydroxy-tetrahydrodipicolinate reductase	Lysine biosynthesis	E	Amino Acid Transport and Metabolism
COG0290	Translation initiation factor IF-3	Translation factors	J	Translation, Ribosomal Structure and Biogenesis
COG0291	Ribosomal protein L35	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0292	Ribosomal protein L20	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0293	23S rRNA U2552 (ribose-2'-O)-methylase RlmE/FtsJ	23S rRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG0294	Dihydropteroate synthase	Folate biosynthesis	H	Coenzyme Transport and Metabolism
COG0295	Cytidine deaminase	Pyrimidine salvage	F	Nucleotide Transport and Metabolism
COG0296	1,4-alpha-glucan branching enzyme		G	Carbohydrate Transport and Metabolism
COG0297	Glycogen synthase		G	Carbohydrate Transport and Metabolism
COG0298	Hydrogenase maturation factor HybG, HypC/HupF family		O	Post-translational Modification, Protein Turnover, Chaperones
COG0299	Folate-dependent phosphoribosylglycinamide formyltransferase PurN	Purine biosynthesis	F	Nucleotide Transport and Metabolism
COG0300	Short-chain dehydrogenase		R	General Function Prediction Only
COG0301	Adenylyl- and sulfurtransferase ThiI (thiamine and tRNA 4-thiouridine biosynthesis)	Thiamine biosynthesis	H	Coenzyme Transport and Metabolism
COG0301	Adenylyl- and sulfurtransferase ThiI (thiamine and tRNA 4-thiouridine biosynthesis)	Thiamine biosynthesis	J	Translation, Ribosomal Structure and Biogenesis
COG0302	GTP cyclohydrolase I	Folate biosynthesis	H	Coenzyme Transport and Metabolism
COG0303	Molybdopterin Mo-transferase (molybdopterin biosynthesis)	Molybdopterin biosynthesis	H	Coenzyme Transport and Metabolism
COG0304	3-oxoacyl-(acyl-carrier-protein) synthase	Fatty acid biosynthesis	I	Lipid Transport and Metabolism
COG0304	3-oxoacyl-(acyl-carrier-protein) synthase	Fatty acid biosynthesis	Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG0305	Replicative DNA helicase		L	Replication, Recombination and Repair
COG0306	Phosphate/sulfate permease		P	Inorganic Ion Transport and Metabolism
COG0307	Riboflavin synthase alpha chain	Riboflavin/FAD biosynthesis	H	Coenzyme Transport and Metabolism
COG0308	Aminopeptidase N, contains DUF3458 domain		E	Amino Acid Transport and Metabolism
COG0309	Carbamoyl dehydratase HypE (hydrogenase maturation factor)		O	Post-translational Modification, Protein Turnover, Chaperones
COG0310	ABC-type Co2+ transport system, permease component		P	Inorganic Ion Transport and Metabolism
COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT (glutamine amidotransferase)	Pyridoxal phosphate biosynthesis	H	Coenzyme Transport and Metabolism
COG0312	Zn-dependent protease PmbA/TldA or its inactivated homolog		R	General Function Prediction Only
COG0313	16S rRNA C1402 (ribose-2'-O) methylase RsmI	16S rRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG0314	Molybdopterin synthase catalytic subunit MoaE	Molybdopterin biosynthesis	H	Coenzyme Transport and Metabolism
COG0315	Molybdenum cofactor biosynthesis enzyme MoaC	Molybdopterin biosynthesis	H	Coenzyme Transport and Metabolism
COG0316	Fe-S cluster assembly iron-binding protein IscA		O	Post-translational Modification, Protein Turnover, Chaperones
COG0317	(p)ppGpp synthase/hydrolase, HD superfamily		T	Signal Transduction Mechanisms
COG0317	(p)ppGpp synthase/hydrolase, HD superfamily		K	Transcription
COG0318	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	Menaquinone biosynthesis	I	Lipid Transport and Metabolism
COG0319	ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme	16S rRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG0320	Lipoate synthase	Lipoate biosynthesis	H	Coenzyme Transport and Metabolism
COG0321	Lipoate-protein ligase B	Lipoate biosynthesis	H	Coenzyme Transport and Metabolism
COG0322	Excinuclease UvrABC, nuclease subunit		L	Replication, Recombination and Repair
COG0323	DNA mismatch repair ATPase MutL		L	Replication, Recombination and Repair
COG0324	tRNA A37 N6-isopentenylltransferase MiaA	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG0325	Pyridoxal 5'-phosphate homeostasis protein YggS, UPF0001 family		H	Coenzyme Transport and Metabolism
COG0326	Molecular chaperone, HSP90 family		O	Post-translational Modification, Protein Turnover, Chaperones
COG0327	Putative GTP cyclohydrolase 1 type 2, NIF3 family	Folate biosynthesis	H	Coenzyme Transport and Metabolism
COG0328	Ribonuclease HI		L	Replication, Recombination and Repair
COG0329	4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase	Lysine biosynthesis	E	Amino Acid Transport and Metabolism
COG0329	4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase	Lysine biosynthesis	M	Cell Wall/Membrane/Envelope Biogenesis
COG0330	Regulator of protease activity HflC, stomatin/prohibitin superfamily		O	Post-translational Modification, Protein Turnover, Chaperones
COG0331	Malonyl CoA-acyl carrier protein transacylase	Fatty acid biosynthesis	I	Lipid Transport and Metabolism
COG0332	3-oxoacyl-[acyl-carrier-protein] synthase III	Fatty acid biosynthesis	I	Lipid Transport and Metabolism
COG0333	Ribosomal protein L32	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0334	Glutamate dehydrogenase/leucine dehydrogenase	Glutamine biosynthesis	E	Amino Acid Transport and Metabolism
COG0335	Ribosomal protein L19	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0336	tRNA G37 N-methylase TrmD	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG0337	3-dehydroquinate synthetase	Aromatic amino acid biosynthesis	E	Amino Acid Transport and Metabolism
COG0338	DNA-adenine methylase		L	Replication, Recombination and Repair
COG0339	Zn-dependent oligopeptidase, M3 family		O	Post-translational Modification, Protein Turnover, Chaperones
COG0340	Biotin-(acetyl-CoA carboxylase) ligase	Biotin biosynthesis	H	Coenzyme Transport and Metabolism
COG0341	Preprotein translocase subunit SecF		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG0342	Preprotein translocase subunit SecD		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG0343	Queuine/archaeosine tRNA-ribosyltransferase	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG0344	Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase		I	Lipid Transport and Metabolism
COG0345	Pyrroline-5-carboxylate reductase	Proline biosynthesis	E	Amino Acid Transport and Metabolism
COG0346	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family		Q	Secondary Metabolites Biosynthesis, Transport and Catabolism
COG0347	Nitrogen regulatory protein PII		T	Signal Transduction Mechanisms
COG0347	Nitrogen regulatory protein PII		E	Amino Acid Transport and Metabolism
COG0348	Polyferredoxin NapH		C	Energy Production and Conversion
COG0349	Ribonuclease D		J	Translation, Ribosomal Structure and Biogenesis
COG0350	DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase)		L	Replication, Recombination and Repair
COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	Thiamine biosynthesis	H	Coenzyme Transport and Metabolism
COG0352	Thiamine monophosphate synthase	Thiamine biosynthesis	H	Coenzyme Transport and Metabolism
COG0353	Recombinational DNA repair protein RecR		L	Replication, Recombination and Repair
COG0354	Folate-binding protein YgfZ, synthesis and repair of Fe-S clusters		O	Post-translational Modification, Protein Turnover, Chaperones
COG0355	FoF1-type ATP synthase, epsilon subunit	FoF1-type ATP synthase	C	Energy Production and Conversion
COG0356	FoF1-type ATP synthase, membrane subunit a	FoF1-type ATP synthase	C	Energy Production and Conversion
COG0357	16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B)	16S rRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG0358	DNA primase (bacterial type)		L	Replication, Recombination and Repair
COG0359	Ribosomal protein L9	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0360	Ribosomal protein S6	Ribosome 30S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG0361	Translation initiation factor IF-1	Translation factors	J	Translation, Ribosomal Structure and Biogenesis
COG0362	6-phosphogluconate dehydrogenase	Pentose phosphate pathway	G	Carbohydrate Transport and Metabolism
COG0363	6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase	Pentose phosphate pathway	G	Carbohydrate Transport and Metabolism
COG0364	Glucose-6-phosphate 1-dehydrogenase	Pentose phosphate pathway	G	Carbohydrate Transport and Metabolism
COG0365	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase		I	Lipid Transport and Metabolism
COG0366	Glycosidase/amylase (phosphorylase)		G	Carbohydrate Transport and Metabolism
COG0367	Asparagine synthetase B (glutamine-hydrolyzing)	Asparagine biosynthesis	E	Amino Acid Transport and Metabolism
COG0368	Cobalamin synthase CobS (adenosylcobinamide-GDP ribazoletransferase)	Cobalamine/B12 biosynthesis	H	Coenzyme Transport and Metabolism
COG0369	Flavoprotein (flavin reductase) subunit CysJ of sulfite and N-hydroxylaminopurine reductases	Cysteine biosynthesis	F	Nucleotide Transport and Metabolism
COG0369	Flavoprotein (flavin reductase) subunit CysJ of sulfite and N-hydroxylaminopurine reductases	Cysteine biosynthesis	P	Inorganic Ion Transport and Metabolism
COG0370	Fe2+ transporter FeoB		P	Inorganic Ion Transport and Metabolism
COG0371	Glycerol dehydrogenase or related enzyme, iron-containing ADH family	Isoprenoid biosynthesis	C	Energy Production and Conversion
COG0372	Citrate synthase	TCA cycle	C	Energy Production and Conversion
COG0373	Glutamyl-tRNA reductase	Heme biosynthesis	H	Coenzyme Transport and Metabolism
COG0374	Ni,Fe-hydrogenase I large subunit		C	Energy Production and Conversion
COG0375	Hydrogenase maturation factor HypA/HybF, metallochaperone involved in Ni insertion		O	Post-translational Modification, Protein Turnover, Chaperones
COG0376	Catalase (peroxidase I)		P	Inorganic Ion Transport and Metabolism
COG0377	NADH:ubiquinone oxidoreductase 20 kD subunit (chain B) or related Fe-S oxidoreductase	NADH dehydrogenase	C	Energy Production and Conversion
COG0378	Hydrogenase/urease maturation factor HypB, Ni2+-binding GTPase		O	Post-translational Modification, Protein Turnover, Chaperones
COG0379	Quinolinate synthase	NAD biosynthesis	H	Coenzyme Transport and Metabolism
COG0380	Trehalose-6-phosphate synthase, GT20 family		G	Carbohydrate Transport and Metabolism
COG0381	UDP-N-acetylglucosamine 2-epimerase		M	Cell Wall/Membrane/Envelope Biogenesis
COG0382	4-hydroxybenzoate polyprenyltransferase	Ubiquinone biosynthesis	H	Coenzyme Transport and Metabolism
COG0383	Alpha-mannosidase		G	Carbohydrate Transport and Metabolism
COG0384	Predicted epimerase YddE/YHI9, PhzF superfamily		R	General Function Prediction Only
COG0385	Predicted Na+-dependent transporter YfeH		R	General Function Prediction Only
COG0386	Thioredoxin/glutathione peroxidase BtuE, reduces lipid peroxides		V	Defense Mechanisms
COG0386	Thioredoxin/glutathione peroxidase BtuE, reduces lipid peroxides		I	Lipid Transport and Metabolism
COG0387	Cation (Ca2+/Na+/K+)/H+ antiporter ChaA		P	Inorganic Ion Transport and Metabolism
COG0388	Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate		C	Energy Production and Conversion
